ID,Departamento,Municipio,Tipo_Dato,Tipo_Indicador,Código_Unico,Indicador,Indicador_Des,Fuente,Descripcion_corta,Valor,Valor_Texto,Cod_Dep,Depto,Codigo_Mun,Latitude,Longitude,Geo
49,Huehuetenango,Santa Eulalia,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,7,,13,Huehuetenango,1317,15.7333,-91.4586,"15.7333,-91.4586"
50,Huehuetenango,San Pedro Soloma,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,4,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
51,Huehuetenango,Todos Santos Cuchumatán,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,1,,13,Huehuetenango,1315,15.5116,-91.6051,"15.5116,-91.6051"
52,Huehuetenango,Chiantla,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,8,,13,Huehuetenango,1302,15.35669,-91.456761,"15.35669,-91.456761"
53,Huehuetenango,Cuilco,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,10,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
54,Huehuetenango,Jacaltenango,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,7,,13,Huehuetenango,1307,15.666667,-91.733333,"15.666667,-91.733333"
55,Huehuetenango,La Democracia,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,3,,13,Huehuetenango,1312,15.6333,-91.8667,"15.6333,-91.8667"
56,Huehuetenango,La Libertad,Red de servicios,Servicios de salud primer nivel,0008,# de puestos de salud,# de puestos de salud,MSPAS,,4,,13,Huehuetenango,1311,15.5,-91.8333,"15.5,-91.8333"
57,Huehuetenango,Chiantla,Red de servicios,Servicios de salud primer nivel,0009,# de servicios de atención de pacientes ambulatorios,# de servicios de atención de pacientes ambulatorios,MSPAS,,1,,13,Huehuetenango,1302,15.35669,-91.456761,"15.35669,-91.456761"
58,Quiché,Nebaj,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,49,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
59,Quiché,Cotzal,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,18,,14,Quiché,1411,15.435278,-91.035556,"15.435278,-91.035556"
60,Quiché,Chajul,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,26,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
61,Quiché,Cunén,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,25,,14,Quiché,1410,15.3375,-91.033333,"15.3375,-91.033333"
62,Quiché,Uspantán,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,47,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
63,Huehuetenango,Santa Cruz Barillas,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,25,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
64,Huehuetenango,San Mateo Ixtatán,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,4,,13,Huehuetenango,1318,15.833333,-91.483333,"15.833333,-91.483333"
65,Huehuetenango,Santa Eulalia,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,9,,13,Huehuetenango,1317,15.7333,-91.4586,"15.7333,-91.4586"
66,Huehuetenango,San Pedro Soloma,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,6,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
67,Huehuetenango,Todos Santos Cuchumatán,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,5,,13,Huehuetenango,1315,15.5116,-91.6051,"15.5116,-91.6051"
68,Huehuetenango,Chiantla,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,18,,13,Huehuetenango,1302,15.35669,-91.456761,"15.35669,-91.456761"
69,Huehuetenango,Cuilco,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,12,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
70,Huehuetenango,Jacaltenango,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,14,,13,Huehuetenango,1307,15.666667,-91.733333,"15.666667,-91.733333"
71,Huehuetenango,La Democracia,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,12,,13,Huehuetenango,1312,15.6333,-91.8667,"15.6333,-91.8667"
72,Huehuetenango,La Libertad,Educación,Servicios,0010,# institutos educación básica,# institutos educación básica,Portal Mineduc,,10,,13,Huehuetenango,1311,15.5,-91.8333,"15.5,-91.8333"
73,Quiché,Nebaj,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,17,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
74,Quiché,Cotzal,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,3,,14,Quiché,1411,15.435278,-91.035556,"15.435278,-91.035556"
75,Quiché,Chajul,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,7,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
76,Quiché,Cunén,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,5,,14,Quiché,1410,15.3375,-91.033333,"15.3375,-91.033333"
77,Quiché,Uspantán,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,17,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
78,Huehuetenango,Santa Cruz Barillas,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,7,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
79,Huehuetenango,San Mateo Ixtatán,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,0,,13,Huehuetenango,1318,15.833333,-91.483333,"15.833333,-91.483333"
80,Huehuetenango,Santa Eulalia,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,2,,13,Huehuetenango,1317,15.7333,-91.4586,"15.7333,-91.4586"
81,Huehuetenango,San Pedro Soloma,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,0,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
82,Huehuetenango,Todos Santos Cuchumatán,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,1,,13,Huehuetenango,1315,15.5116,-91.6051,"15.5116,-91.6051"
83,Huehuetenango,Chiantla,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,1,,13,Huehuetenango,1302,15.35669,-91.456761,"15.35669,-91.456761"
84,Huehuetenango,Cuilco,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,1,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
85,Huehuetenango,Jacaltenango,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,3,,13,Huehuetenango,1307,15.666667,-91.733333,"15.666667,-91.733333"
86,Huehuetenango,La Democracia,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,1,,13,Huehuetenango,1312,15.6333,-91.8667,"15.6333,-91.8667"
87,Huehuetenango,La Libertad,Educación,Servicios,0011,# Institutos educación diversificada,# institutos educación diversificada,Portal Mineduc,,1,,13,Huehuetenango,1311,15.5,-91.8333,"15.5,-91.8333"
88,Huehuetenango,Depto. Huehuetenango,Salud,Micronutrientes niños 6-59 meses,0012,% Ácido fólico (obtuvo en los últimos tres meses),% ácido fólico (últimos tres meses),SIVESNU 2018,,9,,13,Huehuetenango,1301,15.314722,-91.476111,"15.314722,-91.476111"
89,Quiché,Depto. Quiché,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,72.74,,14,Quiché,1401,15.03,-91.15,"15.03,-91.15"
90,Quiché,Nebaj,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,73.34,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
91,Quiché,Cotzal,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,71.9,,14,Quiché,1411,15.435278,-91.035556,"15.435278,-91.035556"
92,Quiché,Chajul,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,61.76,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
93,Quiché,Cunén,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,77.16,,14,Quiché,1410,15.3375,-91.033333,"15.3375,-91.033333"
94,Quiché,Uspantán,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,69.12,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
95,Huehuetenango,Depto. Huehuetenango,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,78.3,,13,Huehuetenango,1301,15.314722,-91.476111,"15.314722,-91.476111"
96,Huehuetenango,Santa Cruz Barillas,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,75.38,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
97,Huehuetenango,San Mateo Ixtatán,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,59.26,,13,Huehuetenango,1318,15.833333,-91.483333,"15.833333,-91.483333"
98,Huehuetenango,Santa Eulalia,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,73.15,,13,Huehuetenango,1317,15.7333,-91.4586,"15.7333,-91.4586"
99,Huehuetenango,San Pedro Soloma,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,75.65,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
100,Huehuetenango,Todos Santos Cuchumatán,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,69.86,,13,Huehuetenango,1315,15.5116,-91.6051,"15.5116,-91.6051"
101,Huehuetenango,Chiantla,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,84.26,,13,Huehuetenango,1302,15.35669,-91.456761,"15.35669,-91.456761"
102,Huehuetenango,Cuilco,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,80.05,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
103,Huehuetenango,Jacaltenango,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,87.48,,13,Huehuetenango,1307,15.666667,-91.733333,"15.666667,-91.733333"
104,Huehuetenango,La Democracia,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,79.99,,13,Huehuetenango,1312,15.6333,-91.8667,"15.6333,-91.8667"
105,Huehuetenango,La Libertad,Educación,Alfabetismo,0013,% alfabetismo en hombres: de 15 años o más que leen y escriben,% de alfabetismo en hombres > 14 años,Censo 2018,% hombres > 14 años,75.58,,13,Huehuetenango,1311,15.5,-91.8333,"15.5,-91.8333"
106,Quiché,Depto. Quiché,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,57.4,,14,Quiché,1401,15.03,-91.15,"15.03,-91.15"
107,Quiché,Nebaj,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,60.81,,14,Quiché,1413,15.408333,-91.147222,"15.408333,-91.147222"
108,Quiché,Cotzal,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,53.98,,14,Quiché,1411,15.435278,-91.035556,"15.435278,-91.035556"
109,Quiché,Chajul,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,50.93,,14,Quiché,1405,15.487222,-91.034722,"15.487222,-91.034722"
110,Quiché,Cunén,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,61.13,,14,Quiché,1410,15.3375,-91.033333,"15.3375,-91.033333"
111,Quiché,Uspantán,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,54.54,,14,Quiché,1415,15.345833,-90.869444,"15.345833,-90.869444"
112,Huehuetenango,Depto. Huehuetenango,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,63.97,,13,Huehuetenango,1301,15.314722,-91.476111,"15.314722,-91.476111"
113,Huehuetenango,Santa Cruz Barillas,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,60.92,,13,Huehuetenango,1326,15.8014,-91.3125,"15.8014,-91.3125"
114,Huehuetenango,San Mateo Ixtatán,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,40.64,,13,Huehuetenango,1318,15.833333,-91.483333,"15.833333,-91.483333"
115,Huehuetenango,Santa Eulalia,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,54.81,,13,Huehuetenango,1317,15.7333,-91.4586,"15.7333,-91.4586"
116,Huehuetenango,San Pedro Soloma,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,61.14,,13,Huehuetenango,1308,15.716667,-91.45,"15.716667,-91.45"
117,Huehuetenango,Todos Santos Cuchumatán,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,53.15,,13,Huehuetenango,1315,15.5116,-91.6051,"15.5116,-91.6051"
118,Huehuetenango,Chiantla,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,66.48,,13,Huehuetenango,1302,15.35669,-91.456761,"15.35669,-91.456761"
119,Huehuetenango,Cuilco,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,68.08,,13,Huehuetenango,1304,15.406944,-91.945833,"15.406944,-91.945833"
120,Huehuetenango,Jacaltenango,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,79.85,,13,Huehuetenango,1307,15.666667,-91.733333,"15.666667,-91.733333"
121,Huehuetenango,La Democracia,Educación,Alfabetismo,0014,% alfabetismo en mujeres: de 15 años o más que leen y escriben,% de alfabetismo en mujeres > 14 años,Censo 2018,% mujeres > 14 años,71.4,,13,Huehuetenango,1312,15.6333,-91.8667,"15.6333,-91.8667"
